daily,index,cumsum,cs_mv14d,d_mv14d,cs_savgol,d_savgol
19,0,19,,,-63.012118153128405,
19,1,38,,,124.9319865620846,187.944104715213
34,2,72,,,164.9173025846906,39.985316022605986
53,3,125,,,155.28384064987156,-9.633461934819024
81,4,206,,,153.09393331637844,-2.1899073334931245
110,5,316,,,186.10849374250037,33.01456042612193
27,6,343,523.4285714285714,,262.6511522584915,76.54265851599112
64,7,407,647.4285714285714,124.0,379.53465090671733,116.88349864822584
94,8,501,797.7142857142857,150.28571428571422,528.223876120786,148.6892252140687
99,9,600,975.7142857142857,178.0,699.4099097149247,171.18603359413862
174,10,774,1188.0714285714287,212.357142857143,886.1694783548616,186.7595686399369
250,11,1024,1445.5714285714287,257.5,1085.8841816814866,199.714703326625
338,12,1362,1742.5,296.92857142857133,1301.0938792585566,215.20969757707007
179,13,1541,2071.0,328.5,1539.4586165156736,238.36473725711699
214,14,1755,2429.6428571428573,358.64285714285734,1813.0034698578572,273.5448533421836
387,15,2142,2876.4285714285716,446.7857142857142,2136.8206916105087,323.81722175265145
422,16,2564,3401.5,525.0714285714284,2542.135751572163,405.31505996165424
534,17,3098,3999.785714285714,598.2857142857142,3040.945163729197,498.8094121570339
713,18,3811,4677.571428571428,677.7857142857142,3623.521779978849,582.576616249652
662,19,4473,5439.642857142857,762.0714285714284,4322.032916456145,698.5111364772965
469,20,4942,6249.214285714285,809.5714285714284,5103.597819490925,781.5649030347795
486,21,5428,7092.285714285715,843.0714285714294,5914.888213136597,811.2903936456723
1328,22,6756,8031.857142857143,939.5714285714284,6840.7871991200855,925.8989859834883
1195,23,7951,9061.357142857143,1029.5,7880.192612964977,1039.4054138448919
1199,24,9150,10161.0,1099.6428571428569,9008.21106361062,1128.0184506456435
1363,25,10513,11315.285714285714,1154.2857142857138,10235.012014080661,1226.8009504700403
1518,26,12031,12543.285714285714,1228.0,11583.243386951066,1348.2313728704048
844,27,12875,13803.642857142857,1260.3571428571431,12963.498642220826,1380.2552552697598
683,28,13558,15076.785714285714,1273.1428571428569,14315.58569038602,1352.0870481651946
1738,29,15296,16393.214285714286,1316.4285714285725,15593.400382409343,1277.814692023323
1681,30,16977,17732.5,1339.2857142857138,16867.642124052436,1274.2417416430926
1516,31,18493,19100.285714285714,1367.7857142857138,18187.087857765455,1319.4457337130189
1478,32,19971,20530.64285714286,1430.357142857145,19575.082661486074,1387.9948037206195
1694,33,21665,22019.428571428572,1488.7857142857138,21035.648902774275,1460.5662412882011
922,34,22587,23521.428571428572,1502.0,22544.897733610003,1509.2488308357279
665,35,23252,25012.071428571428,1490.642857142855,24058.26673528007,1513.3690016700675
1934,36,25186,26416.928571428572,1404.857142857145,25598.129310031716,1539.8625747516453
1515,37,26701,27813.14285714286,1396.2142857142862,27141.948461707037,1543.8191516753213
1598,38,28299,29217.714285714286,1404.5714285714275,28678.657591598407,1536.7091298913692
2239,39,30538,30636.285714285714,1418.5714285714275,30195.944111414454,1517.286519816047
2336,40,32874,32033.428571428572,1397.1428571428587,31679.5724588427,1483.6283474282463
1029,41,33903,33416.28571428572,1382.857142857145,33114.966156239316,1435.3936973966156
524,42,34427,34783.28571428572,1367.0,34515.86509186252,1400.898935623205
537,43,34964,36103.28571428572,1320.0,35889.78468852882,1373.9195966663028
1560,44,36524,37405.78571428572,1302.5,37169.4509318711,1279.6662433422753
1633,45,38157,38649.642857142855,1243.8571428571377,38382.39229424474,1212.94136237364
1674,46,39831,39803.28571428572,1153.6428571428623,39549.684455156224,1167.2921609114856
1394,47,41225,40848.0,1044.7142857142826,40654.064664016165,1104.3802088599405
722,48,41947,41846.92857142857,998.9285714285725,41712.697869779746,1058.633205763581
443,49,42390,42823.07142857143,976.1428571428551,42770.24146336997,1057.5435935902206
1276,50,43666,43814.78571428572,991.7142857142899,43836.06184243346,1065.8203790634943
1270,51,44936,44735.71428571428,920.9285714285652,44825.25836696465,989.1965245311876
777,52,45713,45577.28571428572,841.5714285714348,45772.298703748,947.0403367833496
976,53,46689,46341.142857142855,763.8571428571377,46609.59081411242,837.2921103644185
811,54,47500,47022.357142857145,681.2142857142899,47291.04568878347,681.454874671057
388,55,47888,47672.42857142857,650.0714285714275,47847.6878801189,556.6421913354279
205,56,48093,48300.857142857145,628.4285714285725,48371.92104840792,524.2331682890217
755,57,48848,48886.0,585.1428571428551,48902.58660521948,530.6655568115602
569,58,49417,49419.42857142857,533.4285714285725,49426.9944247491,524.407819529617
522,59,49939,49936.78571428572,517.3571428571449,49884.10354874329,457.10912399418885
586,60,50525,50416.0,479.2142857142826,50296.24925701096,412.1457082676716
237,61,50762,50871.78571428572,455.7857142857174,50683.546277450645,387.2970204396843
286,62,51048,51317.0,445.2142857142826,51078.485944057014,394.9396666063694
140,63,51188,51756.0,439.0,51510.81894169096,432.3329976339446
670,64,51858,52175.07142857143,419.07142857142753,51976.75946083905,465.94051914809097
546,65,52404,52581.71428571428,406.64285714285506,52412.06420340088,435.3047425618279
552,66,52956,52974.0,392.2857142857174,52850.230276825896,438.1660734250181
442,67,53398,53346.21428571428,372.2142857142826,53280.93351639703,430.7032395711358
483,68,53881,53726.21428571428,380.0,53680.71314295592,399.7796265588913
